Year,Country,Emigrants
2014,"ALBANIA",3
2018,"ALBANIA",1
1993,"ANGOLA",1
2013,"ANGOLA",1
1983,"ARGENTINA",1
1991,"ARGENTINA",1
1992,"ARGENTINA",1
1999,"ARGENTINA",1
2013,"ARGENTINA",1
2016,"ARGENTINA",3
2018,"ARGENTINA",2
1981,"AUSTRALIA",2752
1982,"AUSTRALIA",2931
1983,"AUSTRALIA",2608
1984,"AUSTRALIA",2915
1985,"AUSTRALIA",3458
1986,"AUSTRALIA",4374
1987,"AUSTRALIA",8983
1988,"AUSTRALIA",9319
1989,"AUSTRALIA",5943
1990,"AUSTRALIA",5847
1991,"AUSTRALIA",5715
1992,"AUSTRALIA",4104
1993,"AUSTRALIA",3083
1994,"AUSTRALIA",3224
1995,"AUSTRALIA",2966
1996,"AUSTRALIA",2002
1997,"AUSTRALIA",2124
1998,"AUSTRALIA",2189
1999,"AUSTRALIA",2597
2000,"AUSTRALIA",2298
2001,"AUSTRALIA",1965
2002,"AUSTRALIA",2603
2003,"AUSTRALIA",2223
2004,"AUSTRALIA",2647
2005,"AUSTRALIA",3027
2006,"AUSTRALIA",3735
2007,"AUSTRALIA",3467
2008,"AUSTRALIA",3657
2009,"AUSTRALIA",3850
2010,"AUSTRALIA",3062
2011,"AUSTRALIA",3957
2012,"AUSTRALIA",4259
2013,"AUSTRALIA",4748
2014,"AUSTRALIA",4467
2015,"AUSTRALIA",4860
2016,"AUSTRALIA",4819
2017,"AUSTRALIA",3993
2018,"AUSTRALIA",2937
2019,"AUSTRALIA",2468
2020,"AUSTRALIA",777
1982,"AUSTRIA",6
1983,"AUSTRIA",4
1984,"AUSTRIA",10
1985,"AUSTRIA",4
1986,"AUSTRIA",4
1987,"AUSTRIA",4
1988,"AUSTRIA",4
1989,"AUSTRIA",15
1990,"AUSTRIA",18
1991,"AUSTRIA",11
1992,"AUSTRIA",17
1993,"AUSTRIA",24
1994,"AUSTRIA",18
1995,"AUSTRIA",10
1996,"AUSTRIA",22
1997,"AUSTRIA",30
1998,"AUSTRIA",35
1999,"AUSTRIA",37
2000,"AUSTRIA",35
2001,"AUSTRIA",39
2002,"AUSTRIA",86
2003,"AUSTRIA",94
2004,"AUSTRIA",163
2005,"AUSTRIA",181
2006,"AUSTRIA",94
2007,"AUSTRIA",158
2008,"AUSTRIA",163
2009,"AUSTRIA",140
2010,"AUSTRIA",106
2011,"AUSTRIA",118
2012,"AUSTRIA",103
2013,"AUSTRIA",104
2014,"AUSTRIA",88
2015,"AUSTRIA",81
2016,"AUSTRIA",64
2017,"AUSTRIA",84
2018,"AUSTRIA",100
2019,"AUSTRIA",87
2020,"AUSTRIA",30
1996,"BAHAMAS",1
2019,"BAHAMAS",1
1981,"BANGLADESH",1
1984,"BANGLADESH",1
1990,"BANGLADESH",3
1992,"BANGLADESH",2
1995,"BANGLADESH",1
1998,"BANGLADESH",2
2010,"BANGLADESH",2
2019,"BANGLADESH",2
1981,"BELGIUM",4
1982,"BELGIUM",13
1983,"BELGIUM",15
1984,"BELGIUM",20
1985,"BELGIUM",23
1986,"BELGIUM",18
1987,"BELGIUM",8
1988,"BELGIUM",8
1989,"BELGIUM",20
1990,"BELGIUM",56
1991,"BELGIUM",48
1992,"BELGIUM",66
1993,"BELGIUM",80
1994,"BELGIUM",61
1995,"BELGIUM",82
1996,"BELGIUM",95
1997,"BELGIUM",116
1998,"BELGIUM",108
1999,"BELGIUM",140
2000,"BELGIUM",136
2001,"BELGIUM",120
2002,"BELGIUM",161
2003,"BELGIUM",125
2004,"BELGIUM",109
2005,"BELGIUM",141
2006,"BELGIUM",134
2007,"BELGIUM",102
2008,"BELGIUM",153
2009,"BELGIUM",123
2010,"BELGIUM",126
2011,"BELGIUM",131
2012,"BELGIUM",179
2013,"BELGIUM",171
2014,"BELGIUM",186
2015,"BELGIUM",143
2016,"BELGIUM",184
2017,"BELGIUM",170
2018,"BELGIUM",135
2019,"BELGIUM",179
2020,"BELGIUM",58
2019,"BOLIVIA",1
2012,"BOSNIA AND HERZEGOVINA",1
2019,"BOSNIA AND HERZEGOVINA",2
1981,"BRAZIL",4
1991,"BRAZIL",1
1993,"BRAZIL",1
1994,"BRAZIL",1
1998,"BRAZIL",1
2003,"BRAZIL",1
2005,"BRAZIL",2
2014,"BRAZIL",2
2015,"BRAZIL",1
2016,"BRAZIL",2
2017,"BRAZIL",1
2019,"BRAZIL",1
1982,"BRUNEI DARUSSALAM",2
