Year,Region,Emigrants
1988,"Region I - Ilocos Region",5748
1989,"Region I - Ilocos Region",5737
1990,"Region I - Ilocos Region",6949
1991,"Region I - Ilocos Region",6870
1992,"Region I - Ilocos Region",7007
1993,"Region I - Ilocos Region",7492
1994,"Region I - Ilocos Region",7624
1995,"Region I - Ilocos Region",7078
1996,"Region I - Ilocos Region",7959
1997,"Region I - Ilocos Region",6683
1998,"Region I - Ilocos Region",4984
1999,"Region I - Ilocos Region",4889
2000,"Region I - Ilocos Region",6146
2001,"Region I - Ilocos Region",5603
2002,"Region I - Ilocos Region",5970
2003,"Region I - Ilocos Region",5999
2004,"Region I - Ilocos Region",7364
2005,"Region I - Ilocos Region",7035
2006,"Region I - Ilocos Region",7857
2007,"Region I - Ilocos Region",8387
2008,"Region I - Ilocos Region",7441
2009,"Region I - Ilocos Region",8903
2010,"Region I - Ilocos Region",10899
2011,"Region I - Ilocos Region",9569
2012,"Region I - Ilocos Region",8906
2013,"Region I - Ilocos Region",8322
2014,"Region I - Ilocos Region",8738
2015,"Region I - Ilocos Region",10554
2016,"Region I - Ilocos Region",9480
2017,"Region I - Ilocos Region",9271
2018,"Region I - Ilocos Region",8364
2019,"Region I - Ilocos Region",6831
2020,"Region I - Ilocos Region",1563
1988,"Region II - Cagayan Valley",701
1989,"Region II - Cagayan Valley",705
1990,"Region II - Cagayan Valley",766
1991,"Region II - Cagayan Valley",811
1992,"Region II - Cagayan Valley",872
1993,"Region II - Cagayan Valley",962
1994,"Region II - Cagayan Valley",1146
1995,"Region II - Cagayan Valley",1005
1996,"Region II - Cagayan Valley",1230
1997,"Region II - Cagayan Valley",1047
1998,"Region II - Cagayan Valley",753
1999,"Region II - Cagayan Valley",848
2000,"Region II - Cagayan Valley",796
2001,"Region II - Cagayan Valley",891
2002,"Region II - Cagayan Valley",1031
2003,"Region II - Cagayan Valley",1007
2004,"Region II - Cagayan Valley",1263
2005,"Region II - Cagayan Valley",1168
2006,"Region II - Cagayan Valley",1640
2007,"Region II - Cagayan Valley",1528
2008,"Region II - Cagayan Valley",1416
2009,"Region II - Cagayan Valley",1906
2010,"Region II - Cagayan Valley",2100
2011,"Region II - Cagayan Valley",2115
2012,"Region II - Cagayan Valley",2111
2013,"Region II - Cagayan Valley",1876
2014,"Region II - Cagayan Valley",2043
2015,"Region II - Cagayan Valley",3363
2016,"Region II - Cagayan Valley",2888
2017,"Region II - Cagayan Valley",3012
2018,"Region II - Cagayan Valley",2361
2019,"Region II - Cagayan Valley",2110
2020,"Region II - Cagayan Valley",464
1988,"Region III - Central Luzon",12087
1989,"Region III - Central Luzon",11198
1990,"Region III - Central Luzon",12266
1991,"Region III - Central Luzon",11559
1992,"Region III - Central Luzon",12433
1993,"Region III - Central Luzon",10849
1994,"Region III - Central Luzon",10510
1995,"Region III - Central Luzon",9502
1996,"Region III - Central Luzon",10245
1997,"Region III - Central Luzon",8951
1998,"Region III - Central Luzon",6280
1999,"Region III - Central Luzon",6456
2000,"Region III - Central Luzon",7867
2001,"Region III - Central Luzon",7805
2002,"Region III - Central Luzon",8740
2003,"Region III - Central Luzon",8215
2004,"Region III - Central Luzon",9648
2005,"Region III - Central Luzon",10152
2006,"Region III - Central Luzon",11965
2007,"Region III - Central Luzon",12546
2008,"Region III - Central Luzon",10898
2009,"Region III - Central Luzon",12927
2010,"Region III - Central Luzon",14168
2011,"Region III - Central Luzon",13280
2012,"Region III - Central Luzon",13427
2013,"Region III - Central Luzon",12624
2014,"Region III - Central Luzon",13196
2015,"Region III - Central Luzon",15199
2016,"Region III - Central Luzon",14469
2017,"Region III - Central Luzon",12598
2018,"Region III - Central Luzon",11772
2019,"Region III - Central Luzon",10478
2020,"Region III - Central Luzon",2552
1988,"Region IV A - CALABARZON",6438
1989,"Region IV A - CALABARZON",6481
1990,"Region IV A - CALABARZON",7512
1991,"Region IV A - CALABARZON",7441
1992,"Region IV A - CALABARZON",7623
1993,"Region IV A - CALABARZON",8119
1994,"Region IV A - CALABARZON",8397
1995,"Region IV A - CALABARZON",7325
1996,"Region IV A - CALABARZON",8261
1997,"Region IV A - CALABARZON",7577
1998,"Region IV A - CALABARZON",5411
1999,"Region IV A - CALABARZON",5574
2000,"Region IV A - CALABARZON",7390
2001,"Region IV A - CALABARZON",8364
2002,"Region IV A - CALABARZON",8783
2003,"Region IV A - CALABARZON",8461
2004,"Region IV A - CALABARZON",10019
2005,"Region IV A - CALABARZON",11325
2006,"Region IV A - CALABARZON",13500
2007,"Region IV A - CALABARZON",13542
2008,"Region IV A - CALABARZON",12611
2009,"Region IV A - CALABARZON",15022
2010,"Region IV A - CALABARZON",16657
2011,"Region IV A - CALABARZON",16672
2012,"Region IV A - CALABARZON",15670
2013,"Region IV A - CALABARZON",15562
2014,"Region IV A - CALABARZON",15645
2015,"Region IV A - CALABARZON",16620
2016,"Region IV A - CALABARZON",16258
2017,"Region IV A - CALABARZON",14298
2018,"Region IV A - CALABARZON",12832
2019,"Region IV A - CALABARZON",11204
2020,"Region IV A - CALABARZON",2877
1988,"Region IV B - MIMAROPA",227
1989,"Region IV B - MIMAROPA",211
1990,"Region IV B - MIMAROPA",249
1991,"Region IV B - MIMAROPA",179
1992,"Region IV B - MIMAROPA",230
1993,"Region IV B - MIMAROPA",313
1994,"Region IV B - MIMAROPA",281
1995,"Region IV B - MIMAROPA",247
1996,"Region IV B - MIMAROPA",282
1997,"Region IV B - MIMAROPA",221
1998,"Region IV B - MIMAROPA",227
1999,"Region IV B - MIMAROPA",197
2000,"Region IV B - MIMAROPA",291
2001,"Region IV B - MIMAROPA",275
2002,"Region IV B - MIMAROPA",281
2003,"Region IV B - MIMAROPA",295
2004,"Region IV B - MIMAROPA",340
2005,"Region IV B - MIMAROPA",395
2006,"Region IV B - MIMAROPA",378
2007,"Region IV B - MIMAROPA",412
2008,"Region IV B - MIMAROPA",402
2009,"Region IV B - MIMAROPA",544
2010,"Region IV B - MIMAROPA",641
2011,"Region IV B - MIMAROPA",682
2012,"Region IV B - MIMAROPA",702
2013,"Region IV B - MIMAROPA",645
2014,"Region IV B - MIMAROPA",603
2015,"Region IV B - MIMAROPA",723
2016,"Region IV B - MIMAROPA",724
2017,"Region IV B - MIMAROPA",708
2018,"Region IV B - MIMAROPA",626
2019,"Region IV B - MIMAROPA",608
2020,"Region IV B - MIMAROPA",142
1988,"Region V - Bicol Region",766
1989,"Region V - Bicol Region",609
1990,"Region V - Bicol Region",812
1991,"Region V - Bicol Region",815
1992,"Region V - Bicol Region",842
1993,"Region V - Bicol Region",873
1994,"Region V - Bicol Region",892
1995,"Region V - Bicol Region",735
1996,"Region V - Bicol Region",847
1997,"Region V - Bicol Region",800
1998,"Region V - Bicol Region",604
1999,"Region V - Bicol Region",672
2000,"Region V - Bicol Region",767
2001,"Region V - Bicol Region",837
2002,"Region V - Bicol Region",940
2003,"Region V - Bicol Region",871
2004,"Region V - Bicol Region",1019
2005,"Region V - Bicol Region",1106
2006,"Region V - Bicol Region",1438
2007,"Region V - Bicol Region",1294
2008,"Region V - Bicol Region",1120
2009,"Region V - Bicol Region",1363
2010,"Region V - Bicol Region",1236
2011,"Region V - Bicol Region",1489
2012,"Region V - Bicol Region",1476
2013,"Region V - Bicol Region",1441
2014,"Region V - Bicol Region",1507
